YEAR,LOC,ENV,REP,VAR,TRT,TW,YLD,INC,SEV,IND,FDK,DON
2019,Belleville,BEL_19,1,WB4458,1,50.2,68.47,48,75,36,20,2.5
2019,Belleville,BEL_19,1,WB4458,2,50.61,64.56,30,50,15,30,3.9
2019,Belleville,BEL_19,1,WB4458,3,53.63,66.71,30,65,19.5,30,3
2019,Belleville,BEL_19,1,WB4458,4,54.03,81.26,36,60,21.6,8,1.8
2019,Belleville,BEL_19,1,BobDole,1,55.57,96.57,12,25,3,5,0.8
2019,Belleville,BEL_19,1,BobDole,2,58.41,116.72,5,5,0.25,5,0.82
2019,Belleville,BEL_19,1,BobDole,3,59.38,110.53,5,5,0.25,1,0.56
2019,Belleville,BEL_19,1,BobDole,4,60.4,112.91,7,40,2.8,3,0.55
2019,Belleville,BEL_19,1,Zenda,1,54.37,79.3,5,50,2.5,4,1.4
2019,Belleville,BEL_19,1,Zenda,2,61.44,94.77,1,5,0.05,3,0.45
2019,Belleville,BEL_19,1,Zenda,3,61.46,90.52,2,5,0.1,3,0.59
2019,Belleville,BEL_19,1,Zenda,4,61.08,96.99,3,40,1.2,4,0.44
2019,Belleville,BEL_19,2,WB4458,1,46.69,58.05,35,70,24.5,23,3.2
2019,Belleville,BEL_19,2,WB4458,2,52.89,55.28,15,50,7.5,12,1.5
2019,Belleville,BEL_19,2,WB4458,3,53.83,76.16,19,75,14.25,10,1.8
2019,Belleville,BEL_19,2,WB4458,4,44.96,61.87,27,75,20.25,7,2.3
2019,Belleville,BEL_19,2,BobDole,1,53.27,82.84,9,50,4.5,8,1.1
2019,Belleville,BEL_19,2,BobDole,2,58.3,95.72,7,50,3.5,3,0.56
2019,Belleville,BEL_19,2,BobDole,3,58.19,99.59,3,30,0.9,3,0.88
2019,Belleville,BEL_19,2,BobDole,4,59.78,96.23,3,30,0.9,1,0.82
2019,Belleville,BEL_19,2,Zenda,1,54.03,70.32,5,50,2.5,3,0.97
2019,Belleville,BEL_19,2,Zenda,2,60.07,93.23,2,8,0.16,1,0.34
